Date,precipitation,temperature
31/05/1986,5.6,22.60967742
30/06/1986,347.5,21.04333333
31/07/1986,447.5,20.53225806
31/08/1986,444.6,18.75483871
30/09/1986,192.6,18.86666667
31/10/1986,46.8,19.73548387
30/11/1986,0,21.07
31/12/1986,22.9,20.81612903
31/01/1987,16.1,21.33548387
28/02/1987,0.3,22.56428571
31/03/1987,58.3,22.86774194
30/04/1987,21.4,23.64
31/05/1987,155.8,20.59677419
30/06/1987,146.7,20.25
31/07/1987,273.8,20.61612903
31/08/1987,369.6,19.29032258
30/09/1987,56.1,21.09666667
31/10/1987,65.1,21.07741935
30/11/1987,27.2,21.50333333
31/12/1987,0,21.97096774
31/01/1988,0.1,22.88064516
29/02/1988,66,21.89655172
31/03/1988,3.6,24.38064516
30/04/1988,17.2,24.78333333
31/05/1988,54.9,24.84387097
30/06/1988,135.56,25.061
31/07/1988,360.26,16.04096774
31/08/1988,405.06,20.03774194
30/09/1988,160.77,21.01866667
31/10/1988,95,23.03774194
30/11/1988,15.24,26.34466667
31/12/1988,27.92,26.73774194
31/01/1989,6.2,26.15677419
28/02/1989,0,30.165
31/03/1989,84.3,22.63129032
30/04/1989,45.8,22.39
31/05/1989,94.8,22.84193548
30/06/1989,85.3,21.58666667
31/07/1989,304.7,19.14516129
31/08/1989,425.5,18.88387097
30/09/1989,139.3,19.81666667
31/10/1989,103.6,20.62903226
30/11/1989,6.6,22.14333333
31/12/1989,37.7,21.00059191
31/01/1990,11.06,22.43276123
28/02/1990,5.97,21.86972488
31/03/1990,29.63,21.86972488
30/04/1990,63.61,21.86972488
31/05/1990,90.48,21.86972488
30/06/1990,185.85,21.86972488
31/07/1990,415.82,21.86972488
31/08/1990,384.6,21.86972488
30/09/1990,182.22,21.86972488
31/10/1990,86.3,21.86972488
30/11/1990,23.84,21.86972488
31/12/1990,18.17,21.86972488
31/01/1991,1.97,21.86972488
28/02/1991,4.66,21.86972488
31/03/1991,32.67,21.86972488
30/04/1991,50.06,21.86972488
31/05/1991,113.11,21.86972488
30/06/1991,190.83,21.86972488
31/07/1991,414.75,21.86972488
31/08/1991,384.98,21.86972488
30/09/1991,198.78,21.86972488
31/10/1991,67.74,21.15504592
30/11/1991,25.33,21.26666667
31/12/1991,14.48,20.89032258
31/01/1992,1,21.6483871
29/02/1992,0,23.00689655
31/03/1992,12.8,24.78709677
30/04/1992,86,24.11666667
31/05/1992,38.6,23.56774194
30/06/1992,89.9,23.03666667
31/07/1992,324.6,18.58387097
31/08/1992,386.7,17.44516129
30/09/1992,169.6,18.84666667
31/10/1992,122.6,21.86972488
30/11/1992,65,19.11333333
31/12/1992,5.7,20.78387097
31/01/1993,0.8,21.68535075
28/02/1993,2,21.86972488
31/03/1993,86.3,22.93480321
30/04/1993,74.5,21.97666667
31/05/1993,199.4,22.06774194
30/06/1993,137.2,20.69333333
31/07/1993,429.8,18.83548387
31/08/1993,289.9,19.51935484
30/09/1993,208.8,19.89333333
31/10/1993,118.6,20.02580645
30/11/1993,23.3,21.45666667
31/12/1993,1.1,21.90967742
31/01/1994,1.8,22.84193548
28/02/1994,9.1,24.14285714
31/03/1994,7.7,31.41290323
30/04/1994,17,25.78666667
31/05/1994,89.7,23.46451613
30/06/1994,237.7,21.06666667
31/07/1994,493.8,17.07419355
31/08/1994,631.5,17.72903226
30/09/1994,248,19.40333333
31/10/1994,10,22.03548387
30/11/1994,30.88,22.20596332
31/12/1994,31.7,22.39032258
31/01/1995,0,23.23870968
28/02/1995,0,24.13214286
31/03/1995,22.7,24.89677419
30/04/1995,34.6,24.28333333
31/05/1995,100.4,23.70322581
30/06/1995,73,23.20333333
31/07/1995,399.7,18.22903226
31/08/1995,403.6,18.73225806
30/09/1995,186.9,19.98
31/10/1995,5,21.80967742
30/11/1995,23.4,22.01333333
31/12/1995,25.3,21.58612016
31/01/1996,4.3,22.5516129
29/02/1996,1.2,24.48275862
31/03/1996,49.4,24.1483871
30/04/1996,92.1,23.36666667
31/05/1996,146.1,21.13548387
30/06/1996,187,19.82333333
31/07/1996,369.4,18.64516129
31/08/1996,374,19.00645161
30/09/1996,155.4,20.54
31/10/1996,30.6,21.7483871
30/11/1996,76.2,20.95
31/12/1996,4.4,21.63548387
31/01/1997,3.4,21.94193548
28/02/1997,0,23.48571429
31/03/1997,73.7,24.12903226
30/04/1997,43.1,23.01666667
31/05/1997,197.6,22
30/06/1997,215.1,20.67
31/07/1997,439.7,18.29677419
31/08/1997,359,19.2483871
30/09/1997,197,21.42
31/10/1997,305,20.98064516
30/11/1997,12.3,22.03666667
31/12/1997,82.5,21.46129032
31/01/1998,13.6,22.94193548
28/02/1998,0,24.01428571
31/03/1998,21.2,24.67771531
30/04/1998,6.9,26.46
31/05/1998,203.6,23.23225806
30/06/1998,126.2,22.19666667
31/07/1998,399.6,17.72903226
31/08/1998,410.8,17.9483871
30/09/1998,245.4,19.77333333
31/10/1998,75.9,20.84193548
30/11/1998,0.5,22.13333333
31/12/1998,0,22.56129032
31/01/1999,34.5,22.28612016
28/02/1999,0,24.75855178
31/03/1999,0,24.92903226
30/04/1999,9.5,25.32
31/05/1999,44.3,24.62903226
30/06/1999,181.4,23.43
31/07/1999,476.5,17.65063629
31/08/1999,345.7,18.22580645
30/09/1999,182.1,19.77333333
31/10/1999,275,19.3516129
30/11/1999,11.2,21.5
31/12/1999,19.5,22.12903226
31/01/2000,0,22.65415805
29/02/2000,0.3,24.36206897
31/03/2000,6.3,25.54516129
30/04/2000,118.3,22.10333333
31/05/2000,61.1,23.66451613
30/06/2000,168.1,22.2
31/07/2000,423.6,18.96774194
31/08/2000,462.4,18.70322581
30/09/2000,232.2,19.82
31/10/2000,137.8,19.81290323
30/11/2000,35.1,21.39333333
31/12/2000,0.5,22.56774194
31/01/2001,0,22.80645161
28/02/2001,1.3,25.00357143
31/03/2001,17.2,24.12258065
30/04/2001,24,25.25333333
31/05/2001,95.4,23.63548387
30/06/2001,197.5,20.1
31/07/2001,496.7,18.4483871
31/08/2001,410,18.33870968
30/09/2001,184.8,20.41666667
31/10/2001,60.1,21.82580645
30/11/2001,4.5,22.01333333
31/12/2001,7.2,22.79354839
31/01/2002,0.4,22.94193548
28/02/2002,0,25.07857143
31/03/2002,61.2,24.55483871
30/04/2002,45.1,24.90333333
31/05/2002,47.2,25.45806452
30/06/2002,203.3,22.05333333
31/07/2002,256.6,20.18709677
31/08/2002,313.4,19.66129032
30/09/2002,144.46,20.66697249
31/10/2002,2.9,22.86451613
30/11/2002,16,23.14
31/12/2002,18.8,22.92903226
31/01/2003,0,23.72258065
28/02/2003,13.9,24.46785714
31/03/2003,28.24142417,24.36676532
30/04/2003,28.1,25.39333333
31/05/2003,10.4,26
30/06/2003,86.2,22.44
31/07/2003,435.7,18.53548387
31/08/2003,396.8,18.77419355
30/09/2003,229.9828483,20.12232416
31/10/2003,16.7,21.88387097
30/11/2003,33.3,22.28
31/12/2003,14.8,22.38064516
31/01/2004,0.5,23.65806452
29/02/2004,37.6,23.89310345
31/03/2004,33.7,24.96129032
30/04/2004,75.5,23.15333333
31/05/2004,19.1,25.86774194
30/06/2004,141,21.75333333
31/07/2004,333.7,19.60645161
31/08/2004,295.2,19.25806452
30/09/2004,120.8,20.89333333
31/10/2004,85.8,21.40645161
30/11/2004,42.5,22.34
31/12/2004,12.7,22.39677419
31/01/2005,1.3,22.81612903
28/02/2005,0,25.9
31/03/2005,34.1,24.94193548
30/04/2005,10.3,25.50666667
31/05/2005,56.3,24.63548387
30/06/2005,224.4,23.06666667
31/07/2005,473.6,18.1483871
31/08/2005,436,19.61290323
30/09/2005,216.2,20.18666667
31/10/2005,5,21.56451613
30/11/2005,29.7,22.41
31/12/2005,0,22.72258065
31/01/2006,0,23.73870968
28/02/2006,1.4,25.06428571
31/03/2006,6.8,25.17741935
30/04/2006,63.2,24.39666667
31/05/2006,147.3,22.61290323
30/06/2006,170,21.57
31/07/2006,482.2,19.51612903
31/08/2006,452.5,19.27096774
30/09/2006,255,20.65
31/10/2006,47.5,23.12580645
30/11/2006,0,22.37666667
31/12/2006,13.6,21.99677419
31/01/2007,22.9,22.6
28/02/2007,0.5,24.51428571
31/03/2007,22.2,26.03870968
30/04/2007,87.8,24.86333333
31/05/2007,65.6,24.66129032
30/06/2007,271.2,20.92
31/07/2007,425.7,18.10322581
31/08/2007,443.2414242,19.31515242
30/09/2007,194.5,20.51666667
31/10/2007,8.1,21.52258065
30/11/2007,5,22.48666667
31/12/2007,0,22.58709677
31/01/2008,81.4,22.76774194
29/02/2008,0,23.58275862
31/03/2008,1.5,25.58709677
30/04/2008,110.8899692,23.74394498
31/05/2008,211.5,22.21290323
30/06/2008,209.4,20.63333333
31/07/2008,376.4,19.19354839
31/08/2008,331.8,19.52258065
30/09/2008,228.6,20.47333333
31/10/2008,51.8,21.72258065
30/11/2008,2.5,21.98333333
31/12/2008,18.5,21.85806452
31/01/2009,0,22.85806452
28/02/2009,2,24.05714286
31/03/2009,63.2,24.8483871
30/04/2009,5.8,25.03666667
31/05/2009,28.8,25.42258065
30/06/2009,66.8,24.21666667
31/07/2009,408.3,19.33548387
31/08/2009,410.5,19.42580645
30/09/2009,122.2,21.24666667
31/10/2009,108.4,21.26451613
30/11/2009,16,23.07333333
31/12/2009,2,22.5483871
31/01/2010,13.1,22.60967742
28/02/2010,0,24.39642857
31/03/2010,36,24.8
30/04/2010,52.1,24.80666667
31/05/2010,65.3,23.81612903
30/06/2010,166.8,23.29
31/07/2010,499.3,18.92903226
31/08/2010,527.9,19.1516129
30/09/2010,203,20.47666667
31/10/2010,41.4,21.91935484
30/11/2010,16.2,22.16333333
31/12/2010,9.7,21.62903226
31/01/2011,11.1,22.26774194
28/02/2011,0,24.7
31/03/2011,43.9,23.34516129
30/04/2011,20.9,25.05333333
31/05/2011,175.9,23.22580645
30/06/2011,132.9,21.89666667
31/07/2011,359.6,19.75483871
31/08/2011,392.2,19.33225806
30/09/2011,259.7,20.25333333
31/10/2011,50.4,22.2516129
30/11/2011,86.6,21.45333333
31/12/2011,0,21.92903226
31/01/2012,0,23.14516129
29/02/2012,0,25.03103448
31/03/2012,33.8,25.67096774
30/04/2012,0,25.84
31/05/2012,57.2,25.57741935
30/06/2012,277.7,23.43
31/07/2012,389.3,21.19354839
31/08/2012,447.7,20.05806452
30/09/2012,214,21.13
31/10/2012,24.4,23.41290323
30/11/2012,41.3,23.06666667
31/12/2012,4,24.10645161
31/01/2013,14.5242725,24.75190886
28/02/2013,4.2,26.025
31/03/2013,31.04142417,25.605475
30/04/2013,34.3,26.61666667
31/05/2013,157.9,25.69032258
30/06/2013,248.9,24.19
31/07/2013,423,20.44516129
31/08/2013,439.1,19.23225806
30/09/2013,131.3,21.26333333
31/10/2013,165.9,21.56451613
30/11/2013,33.9,22.52
31/12/2013,5.5,22.6483871
31/01/2014,5.4,23.31290323
28/02/2014,4.3,25.05249017
31/03/2014,151.5,24.67741935
30/04/2014,124.242725,21.86972488
31/05/2014,128.3841492,21.86972488
30/06/2014,165.2,23.93666667
31/07/2014,340.8,21.91935484
31/08/2014,453.6,20.03225806
30/09/2014,222.2,21.09666667
31/10/2014,86.1,21.25483871
30/11/2014,50.8,22.09333333
31/12/2014,0,22.00645161
31/01/2015,0,22.8516129
28/02/2015,4.4,25.26428571
31/03/2015,17.9,25.72903226
30/04/2015,8.3,26.5
31/05/2015,176.3,24.06451613
30/06/2015,129.2,22.44
31/07/2015,234.1,20.79354839
31/08/2015,284.2,20.15806452
30/09/2015,200.5,20.87333333
31/10/2015,26.6,22.82903226
30/11/2015,83.5,22.22333333
31/12/2015,37.6,21.1516129
31/01/2016,0,22.50967742
29/02/2016,0,24.8862069
31/03/2016,128.3841492,22.56774194
30/04/2016,124.242725,22.29232416
31/05/2016,193,19.26129032
30/06/2016,162.3,19.55666667
31/07/2016,375.6,20.4
31/08/2016,398.8,20.7483871
30/09/2016,177.9,22.61666667
31/10/2016,27.9,22.70967742
30/11/2016,0,23.53666667
31/12/2016,0,24.51935484
31/01/2017,0,23.219858
28/02/2017,60.4,25.06071429
31/03/2017,26.4,22.37741935
30/04/2017,86.5,23.48666667
31/05/2017,165,20.56451613
30/06/2017,84.4,19.23666667
31/07/2017,346,21.23548387
31/08/2017,276.3,21.40322581
30/09/2017,285,21.94666667
31/10/2017,56.4,22.21935484
30/11/2017,19.6,22.34
31/12/2017,0,24.20967742
