Date,Month,Year,precipitation,temperature
11/05/1976,5,1976,3.4,16.8
12/05/1976,5,1976,7.5,16.9
13/05/1976,5,1976,5.2,16.5
14/05/1976,5,1976,10.7,15.4
15/05/1976,5,1976,7.3,18.2
16/05/1976,5,1976,8.6,17.8
17/05/1976,5,1976,12.4,18.9
18/05/1976,5,1976,2.5,19
19/05/1976,5,1976,25.4,20.3
20/05/1976,5,1976,1.8,20.4
21/05/1976,5,1976,1.4,21.2
22/05/1976,5,1976,6.4,21.4
23/05/1976,5,1976,9.7,19.9
24/05/1976,5,1976,8,19.8
25/05/1976,5,1976,0,19.9
26/05/1976,5,1976,0,21.5
27/05/1976,5,1976,12,18
28/05/1976,5,1976,24.3,16.8
29/05/1976,5,1976,3.5,17.8
30/05/1976,5,1976,24.4,18
31/05/1976,5,1976,12,17.4
01/06/1976,6,1976,11.5,18.7
02/06/1976,6,1976,20.5,18.5
03/06/1976,6,1976,12.9,17.9
04/06/1976,6,1976,11.4,18.4
05/06/1976,6,1976,17.8,18.3
06/06/1976,6,1976,53.2,19
07/06/1976,6,1976,13,18.5
08/06/1976,6,1976,5.2,18
09/06/1976,6,1976,0,18
10/06/1976,6,1976,0,20.2
11/06/1976,6,1976,11.8,18.5
12/06/1976,6,1976,10.4,18.6
13/06/1976,6,1976,12,18.5
14/06/1976,6,1976,41.2,19
15/06/1976,6,1976,3,18.2
16/06/1976,6,1976,34.1,16.7
17/06/1976,6,1976,3.1,14.9
18/06/1976,6,1976,13.2,13.8
19/06/1976,6,1976,9.1,13.3
20/06/1976,6,1976,12,14.2
21/06/1976,6,1976,15.6,13.1
22/06/1976,6,1976,18.3,10.5
23/06/1976,6,1976,14.4,13.4
24/06/1976,6,1976,15.9,17.3
25/06/1976,6,1976,12,18
26/06/1976,6,1976,27.8,17.5
27/06/1976,6,1976,13,17.2
28/06/1976,6,1976,5.6,17
29/06/1976,6,1976,31.3,17.8
30/06/1976,6,1976,7.9,18
01/07/1976,7,1976,34.7,15.8
02/07/1976,7,1976,24.3,14.8
03/07/1976,7,1976,12.7,14.7
04/07/1976,7,1976,17.4,15
05/07/1976,7,1976,8,16.5
06/07/1976,7,1976,2.2,16.8
07/07/1976,7,1976,5.9,18.3
08/07/1976,7,1976,4,16.8
09/07/1976,7,1976,24.9,14.5
10/07/1976,7,1976,6.6,14.2
11/07/1976,7,1976,26.7,15.5
12/07/1976,7,1976,13.8,15.2
13/07/1976,7,1976,4,15.5
14/07/1976,7,1976,12.6,17.3
15/07/1976,7,1976,25.3,17.2
16/07/1976,7,1976,48.5,17.5
17/07/1976,7,1976,9.5,15.2
18/07/1976,7,1976,25.3,15.8
19/07/1976,7,1976,12.6,16.4
20/07/1976,7,1976,11.2,18
21/07/1976,7,1976,12.3,18.2
22/07/1976,7,1976,12.4,18.5
23/07/1976,7,1976,25.5,16.8
24/07/1976,7,1976,9,18.4
25/07/1976,7,1976,13.9,18.4
26/07/1976,7,1976,16,17.5
27/07/1976,7,1976,13.6,18.5
28/07/1976,7,1976,4.4,18.2
29/07/1976,7,1976,9.5,17.9
30/07/1976,7,1976,1.8,18
31/07/1976,7,1976,0,18.4
01/08/1976,8,1976,0,18.3
02/08/1976,8,1976,0,17.5
03/08/1976,8,1976,0,18.8
04/08/1976,8,1976,0,18.4
05/08/1976,8,1976,0,17.5
06/08/1976,8,1976,0,18.3
07/08/1976,8,1976,0,18.5
08/08/1976,8,1976,0,18.8
09/08/1976,8,1976,0,19
10/08/1976,8,1976,0,18.6
11/08/1976,8,1976,0,18.8
12/08/1976,8,1976,0,17.9
13/08/1976,8,1976,0,18.4
14/08/1976,8,1976,0,18.5
15/08/1976,8,1976,0,18.4
16/08/1976,8,1976,0,18.9
17/08/1976,8,1976,0,19
18/08/1976,8,1976,0,19.2
19/08/1976,8,1976,0,19.1
20/08/1976,8,1976,0,19.2
21/08/1976,8,1976,0,19.2
22/08/1976,8,1976,0,19.3
23/08/1976,8,1976,0,19.4
24/08/1976,8,1976,0,19.3
25/08/1976,8,1976,0,18.9
26/08/1976,8,1976,0,18.5
27/08/1976,8,1976,0,18.5
28/08/1976,8,1976,0,18.8
29/08/1976,8,1976,0,19
30/08/1976,8,1976,0,19.5
31/08/1976,8,1976,0,19
01/09/1976,9,1976,0,19.6
02/09/1976,9,1976,0,18.8
03/09/1976,9,1976,0,18.9
04/09/1976,9,1976,0,18.6
05/09/1976,9,1976,0,18.5
06/09/1976,9,1976,0,18.6
07/09/1976,9,1976,0,18.6
08/09/1976,9,1976,0,19.6
09/09/1976,9,1976,0,19.8
10/09/1976,9,1976,0,20
11/09/1976,9,1976,0,19.5
12/09/1976,9,1976,0,20.1
13/09/1976,9,1976,0,19.8
14/09/1976,9,1976,0,19.5
15/09/1976,9,1976,0,19.4
16/09/1976,9,1976,0,19.3
17/09/1976,9,1976,0,20
18/09/1976,9,1976,0,19.2
19/09/1976,9,1976,0,20.1
20/09/1976,9,1976,0,20
21/09/1976,9,1976,0,19.5
22/09/1976,9,1976,0,21.2
23/09/1976,9,1976,0,20.8
24/09/1976,9,1976,0,21
25/09/1976,9,1976,0,20.6
26/09/1976,9,1976,0,20.9
27/09/1976,9,1976,0,21
28/09/1976,9,1976,0,20.1
29/09/1976,9,1976,0,20.8
30/09/1976,9,1976,0,21.2
01/10/1976,10,1976,0,20.2
02/10/1976,10,1976,0,19.9
03/10/1976,10,1976,0,20.5
04/10/1976,10,1976,0,20.4
05/10/1976,10,1976,0,20.8
06/10/1976,10,1976,0,20.1
07/10/1976,10,1976,0,20.3
08/10/1976,10,1976,0,20.4
09/10/1976,10,1976,0,20.2
10/10/1976,10,1976,0,20.4
11/10/1976,10,1976,0,20.2
12/10/1976,10,1976,0,19.6
13/10/1976,10,1976,0,20
14/10/1976,10,1976,0,19.8
15/10/1976,10,1976,0,20.6
16/10/1976,10,1976,0,20.8
17/10/1976,10,1976,0,20.5
18/10/1976,10,1976,0,21.4
19/10/1976,10,1976,0,20.6
20/10/1976,10,1976,0,20.5
21/10/1976,10,1976,0,20.2
22/10/1976,10,1976,0,20.3
23/10/1976,10,1976,0,20.5
24/10/1976,10,1976,0,20.6
25/10/1976,10,1976,0,20.8
26/10/1976,10,1976,0,18.5
27/10/1976,10,1976,0,18.8
28/10/1976,10,1976,0,18.5
29/10/1976,10,1976,0,18.8
30/10/1976,10,1976,0,18
31/10/1976,10,1976,0,17.9
01/11/1976,11,1976,0,18
02/11/1976,11,1976,0,18.2
03/11/1976,11,1976,0,20.1
04/11/1976,11,1976,0,20.5
05/11/1976,11,1976,0,20.4
06/11/1976,11,1976,0,20.6
07/11/1976,11,1976,0,19.8
08/11/1976,11,1976,0,19.6
09/11/1976,11,1976,0,20
10/11/1976,11,1976,0,21
11/11/1976,11,1976,0,20.8
12/11/1976,11,1976,0,19.9
13/11/1976,11,1976,0,20
14/11/1976,11,1976,0,20.2
15/11/1976,11,1976,0,19.8
16/11/1976,11,1976,0,20.3
17/11/1976,11,1976,0,19.8
18/11/1976,11,1976,0,19.6
19/11/1976,11,1976,0,20.3
20/11/1976,11,1976,0,18.6
21/11/1976,11,1976,0,18
22/11/1976,11,1976,0,18.4
23/11/1976,11,1976,0,19
24/11/1976,11,1976,0,19.4
25/11/1976,11,1976,0,19.6
26/11/1976,11,1976,0,19.5
27/11/1976,11,1976,0,20
28/11/1976,11,1976,0,20.2
29/11/1976,11,1976,0,20.4
30/11/1976,11,1976,0,20.5
01/12/1976,12,1976,0,21.4
02/12/1976,12,1976,0,21.5
03/12/1976,12,1976,0,21.6
04/12/1976,12,1976,0,21.7
05/12/1976,12,1976,0,21.9
06/12/1976,12,1976,0,22
07/12/1976,12,1976,0,21.8
08/12/1976,12,1976,0,22
09/12/1976,12,1976,0,22.2
10/12/1976,12,1976,0,21.5
11/12/1976,12,1976,0,23
12/12/1976,12,1976,0,22.9
13/12/1976,12,1976,0,23.9
14/12/1976,12,1976,0,22.4
15/12/1976,12,1976,0,23
16/12/1976,12,1976,0,22
17/12/1976,12,1976,0,23.4
18/12/1976,12,1976,0,23.3
19/12/1976,12,1976,0,22.5
20/12/1976,12,1976,0,23.1
21/12/1976,12,1976,0,22.2
22/12/1976,12,1976,0,23.1
23/12/1976,12,1976,0,22.8
24/12/1976,12,1976,0,22.9
25/12/1976,12,1976,0,23
26/12/1976,12,1976,0,22.8
27/12/1976,12,1976,0,23
28/12/1976,12,1976,0,20.2
29/12/1976,12,1976,0,20
30/12/1976,12,1976,0,21
31/12/1976,12,1976,0,21.3
01/01/1977,1,1977,0,20.8
02/01/1977,1,1977,0,21.9
03/01/1977,1,1977,0,22
04/01/1977,1,1977,0,21.9
05/01/1977,1,1977,0,22.5
06/01/1977,1,1977,0,22.8
07/01/1977,1,1977,0,23
08/01/1977,1,1977,0,22.9
09/01/1977,1,1977,0,23
10/01/1977,1,1977,0,23.4
11/01/1977,1,1977,0,23.5
12/01/1977,1,1977,0,23.6
13/01/1977,1,1977,0,22.8
14/01/1977,1,1977,0,23.2
15/01/1977,1,1977,0,23.4
16/01/1977,1,1977,0,22.8
17/01/1977,1,1977,0,23.5
18/01/1977,1,1977,0,23.2
19/01/1977,1,1977,2.3,22.9
20/01/1977,1,1977,4,23.5
21/01/1977,1,1977,1.4,23.5
22/01/1977,1,1977,0.9,23.8
23/01/1977,1,1977,0,23.2
24/01/1977,1,1977,3.5,23.1
25/01/1977,1,1977,0,23.3
26/01/1977,1,1977,0,23.5
27/01/1977,1,1977,0,20.8
28/01/1977,1,1977,0,21.3
29/01/1977,1,1977,0,20.9
30/01/1977,1,1977,0,21.6
31/01/1977,1,1977,0,21.8
01/02/1977,2,1977,0,22.5
02/02/1977,2,1977,0,21.3
03/02/1977,2,1977,0,21.9
04/02/1977,2,1977,0,22.6
05/02/1977,2,1977,0,22.7
06/02/1977,2,1977,0,22.4
07/02/1977,2,1977,0,22.3
08/02/1977,2,1977,0,22.4
09/02/1977,2,1977,0,22.2
10/02/1977,2,1977,0,22.4
11/02/1977,2,1977,0,22.3
12/02/1977,2,1977,0,23
13/02/1977,2,1977,0,23.3
14/02/1977,2,1977,0,23.4
15/02/1977,2,1977,0.5,23.5
16/02/1977,2,1977,1,24
17/02/1977,2,1977,0,23.9
18/02/1977,2,1977,0,24
19/02/1977,2,1977,0,23.5
20/02/1977,2,1977,0,23.6
21/02/1977,2,1977,0,22
22/02/1977,2,1977,0,22.5
23/02/1977,2,1977,2,20
24/02/1977,2,1977,0,21.5
25/02/1977,2,1977,0,23.4
26/02/1977,2,1977,0,22.3
27/02/1977,2,1977,0,22.4
28/02/1977,2,1977,0,23
01/03/1977,3,1977,0,23.9
02/03/1977,3,1977,0,23.5
03/03/1977,3,1977,0,23.8
04/03/1977,3,1977,0,24
05/03/1977,3,1977,0,23.5
06/03/1977,3,1977,0,23.9
07/03/1977,3,1977,0.2,23.2
08/03/1977,3,1977,0,22.3
09/03/1977,3,1977,0,22.4
10/03/1977,3,1977,0,22.3
11/03/1977,3,1977,0,22.4
12/03/1977,3,1977,0,22.3
13/03/1977,3,1977,0,22.5
14/03/1977,3,1977,3.1,22.4
15/03/1977,3,1977,2.4,21.6
16/03/1977,3,1977,0,22.8
17/03/1977,3,1977,0,22.4
18/03/1977,3,1977,0,23.2
19/03/1977,3,1977,2,22.6
20/03/1977,3,1977,2,21.9
21/03/1977,3,1977,0,22.5
22/03/1977,3,1977,0,23
23/03/1977,3,1977,0,22.9
24/03/1977,3,1977,0,22.3
25/03/1977,3,1977,0,23
26/03/1977,3,1977,0,22.8
27/03/1977,3,1977,4.5,22.3
28/03/1977,3,1977,NA,NA
29/03/1977,3,1977,NA,NA
30/03/1977,3,1977,0,23.2
31/03/1977,3,1977,0,23.5
01/04/1977,4,1977,0,23.8
02/04/1977,4,1977,0,23.9
03/04/1977,4,1977,3,23.4
04/04/1977,4,1977,8.5,21.8
05/04/1977,4,1977,0,20.5
06/04/1977,4,1977,0.8,19.2
07/04/1977,4,1977,2.5,22.5
08/04/1977,4,1977,3,23
09/04/1977,4,1977,1.5,21.8
10/04/1977,4,1977,5.5,21.9
11/04/1977,4,1977,0,20.8
12/04/1977,4,1977,0,21
13/04/1977,4,1977,8,19.8
14/04/1977,4,1977,3.5,20
15/04/1977,4,1977,4,21
16/04/1977,4,1977,8,21.8
17/04/1977,4,1977,0,22
18/04/1977,4,1977,0,22.5
19/04/1977,4,1977,0,22.8
20/04/1977,4,1977,0,23.6
21/04/1977,4,1977,0,23.8
22/04/1977,4,1977,0,24
23/04/1977,4,1977,0,24.3
24/04/1977,4,1977,0,23.5
25/04/1977,4,1977,5,23.3
26/04/1977,4,1977,6,23
27/04/1977,4,1977,13,22.8
28/04/1977,4,1977,4,23
29/04/1977,4,1977,0,23.4
30/04/1977,4,1977,0,23.5
01/05/1977,5,1977,0,23.4
02/05/1977,5,1977,0,22.9
03/05/1977,5,1977,9.5,22.2
04/05/1977,5,1977,0,22.1
05/05/1977,5,1977,0,21.8
06/05/1977,5,1977,0,21.5
07/05/1977,5,1977,0,21.7
08/05/1977,5,1977,2,21.5
09/05/1977,5,1977,10.5,20
10/05/1977,5,1977,0,19
11/05/1977,5,1977,10.6,19
12/05/1977,5,1977,8.5,20.3
13/05/1977,5,1977,30,18.5
14/05/1977,5,1977,10.5,18
15/05/1977,5,1977,5.8,18.3
16/05/1977,5,1977,8.5,19
17/05/1977,5,1977,0,20
18/05/1977,5,1977,6,20.1
19/05/1977,5,1977,8,19
20/05/1977,5,1977,5,19.1
21/05/1977,5,1977,11,18
22/05/1977,5,1977,17,18
23/05/1977,5,1977,7.5,17.9
24/05/1977,5,1977,14.5,17.8
25/05/1977,5,1977,11,18
26/05/1977,5,1977,13,17
27/05/1977,5,1977,6.5,17.5
28/05/1977,5,1977,4.9,18
29/05/1977,5,1977,11.4,19
30/05/1977,5,1977,10,18.8
31/05/1977,5,1977,7,16.5
01/06/1977,6,1977,6,18
02/06/1977,6,1977,5.5,19
03/06/1977,6,1977,13,17.6
04/06/1977,6,1977,10,16.5
05/06/1977,6,1977,4.5,16.8
06/06/1977,6,1977,9,15.9
07/06/1977,6,1977,9,16.6
08/06/1977,6,1977,3,17
09/06/1977,6,1977,0,16.5
10/06/1977,6,1977,13,14
11/06/1977,6,1977,15.5,14.2
12/06/1977,6,1977,17.4,15
13/06/1977,6,1977,10,14
14/06/1977,6,1977,18.5,16
15/06/1977,6,1977,8,15.5
16/06/1977,6,1977,1,15
17/06/1977,6,1977,13,16.5
18/06/1977,6,1977,14,17
19/06/1977,6,1977,9,16.5
20/06/1977,6,1977,13.5,16.9
21/06/1977,6,1977,8,16.8
22/06/1977,6,1977,6.5,16
23/06/1977,6,1977,3,15.5
24/06/1977,6,1977,0,17
25/06/1977,6,1977,18,18
26/06/1977,6,1977,6.3,16.5
27/06/1977,6,1977,6.5,17
28/06/1977,6,1977,18.4,16.3
29/06/1977,6,1977,0,19
30/06/1977,6,1977,8.5,20
01/07/1977,7,1977,8,19.5
02/07/1977,7,1977,10.5,17.5
03/07/1977,7,1977,17,19
04/07/1977,7,1977,19,19.5
05/07/1977,7,1977,20.5,18.5
06/07/1977,7,1977,15.4,18
07/07/1977,7,1977,43.8,19.5
08/07/1977,7,1977,11.2,18.5
09/07/1977,7,1977,7.5,15.5
10/07/1977,7,1977,7.5,16
11/07/1977,7,1977,1.5,18
12/07/1977,7,1977,10.5,18.5
13/07/1977,7,1977,16.4,16.4
14/07/1977,7,1977,1.6,18.5
15/07/1977,7,1977,3.5,17.9
16/07/1977,7,1977,7.9,18
17/07/1977,7,1977,6.3,18.5
18/07/1977,7,1977,20.5,16
19/07/1977,7,1977,8.9,16.5
20/07/1977,7,1977,63.8,15
21/07/1977,7,1977,18.9,16.4
22/07/1977,7,1977,19,15.8
23/07/1977,7,1977,19.1,16.9
24/07/1977,7,1977,5.8,17.4
25/07/1977,7,1977,3.8,19
26/07/1977,7,1977,0,18.5
27/07/1977,7,1977,8.4,19
28/07/1977,7,1977,21,18.5
29/07/1977,7,1977,3.6,19.2
30/07/1977,7,1977,13.2,18.3
31/07/1977,7,1977,7.9,18.5
01/08/1977,8,1977,3.8,19.4
02/08/1977,8,1977,0,20.8
03/08/1977,8,1977,12.3,20.2
04/08/1977,8,1977,11.4,19.4
05/08/1977,8,1977,6.3,19.3
06/08/1977,8,1977,8.9,18.9
07/08/1977,8,1977,11.5,19
08/08/1977,8,1977,2.8,19.3
09/08/1977,8,1977,1.2,19.4
10/08/1977,8,1977,0,20.1
11/08/1977,8,1977,0,20
12/08/1977,8,1977,16.5,20.1
13/08/1977,8,1977,6,19.9
14/08/1977,8,1977,8,19.8
15/08/1977,8,1977,0,20
16/08/1977,8,1977,5.4,20.2
17/08/1977,8,1977,0,20
18/08/1977,8,1977,0,20.2
19/08/1977,8,1977,0.5,20.3
20/08/1977,8,1977,0,20.5
21/08/1977,8,1977,0,20.3
22/08/1977,8,1977,0,20.5
23/08/1977,8,1977,11,19.4
24/08/1977,8,1977,11.9,19.2
25/08/1977,8,1977,0,19.4
26/08/1977,8,1977,0,20
27/08/1977,8,1977,0,20.2
28/08/1977,8,1977,0,20.5
29/08/1977,8,1977,0,21
30/08/1977,8,1977,0,19.8
31/08/1977,8,1977,0,19.4
01/09/1977,9,1977,0,20.1
02/09/1977,9,1977,0,20.3
03/09/1977,9,1977,0,20.5
04/09/1977,9,1977,0,21
05/09/1977,9,1977,0,20.9
06/09/1977,9,1977,0,21.5
07/09/1977,9,1977,0,21.8
08/09/1977,9,1977,0,21.3
09/09/1977,9,1977,0,21.5
10/09/1977,9,1977,0,21.8
11/09/1977,9,1977,0,21.3
12/09/1977,9,1977,0,21.5
13/09/1977,9,1977,0,21
14/09/1977,9,1977,0,21.5
15/09/1977,9,1977,0,21.6
16/09/1977,9,1977,0,21.7
17/09/1977,9,1977,3.8,21.3
18/09/1977,9,1977,25.5,20.8
19/09/1977,9,1977,45.8,20
20/09/1977,9,1977,22.3,18.5
21/09/1977,9,1977,20,19.6
22/09/1977,9,1977,20.7,18
23/09/1977,9,1977,28.4,20.4
24/09/1977,9,1977,15.7,20.1
25/09/1977,9,1977,11.6,19.5
26/09/1977,9,1977,1.7,19.7
27/09/1977,9,1977,0,19.9
28/09/1977,9,1977,3.2,19.5
29/09/1977,9,1977,0.4,18.4
30/09/1977,9,1977,0,18.8
01/10/1977,10,1977,2,18.9
02/10/1977,10,1977,0.3,19
03/10/1977,10,1977,2.4,19
04/10/1977,10,1977,6.2,19.5
05/10/1977,10,1977,0,19.3
06/10/1977,10,1977,0,19.2
07/10/1977,10,1977,0,19.3
08/10/1977,10,1977,0,18.4
09/10/1977,10,1977,0,18.9
10/10/1977,10,1977,0,19
11/10/1977,10,1977,0,18
12/10/1977,10,1977,0,18.4
13/10/1977,10,1977,0,18.8
14/10/1977,10,1977,0,18.9
15/10/1977,10,1977,0,19
16/10/1977,10,1977,0,18.5
17/10/1977,10,1977,0,18.8
18/10/1977,10,1977,0,19.9
19/10/1977,10,1977,0,19.4
20/10/1977,10,1977,0,19.5
21/10/1977,10,1977,0,19
22/10/1977,10,1977,0,19.8
23/10/1977,10,1977,0,19.4
24/10/1977,10,1977,0,19.5
25/10/1977,10,1977,0,19.9
26/10/1977,10,1977,0,20
27/10/1977,10,1977,1.7,19.8
28/10/1977,10,1977,0,19.3
29/10/1977,10,1977,0,19
30/10/1977,10,1977,0,18.5
31/10/1977,10,1977,1.3,18.8
01/11/1977,11,1977,1.3,19.3
02/11/1977,11,1977,0.5,19.8
03/11/1977,11,1977,0,19.6
04/11/1977,11,1977,0,19.4
05/11/1977,11,1977,0,19.8
06/11/1977,11,1977,0,19.9
07/11/1977,11,1977,0,19.5
08/11/1977,11,1977,0,20
09/11/1977,11,1977,0,20.3
10/11/1977,11,1977,0,20.5
11/11/1977,11,1977,0,20.8
12/11/1977,11,1977,0,21.5
13/11/1977,11,1977,0.5,21.3
14/11/1977,11,1977,0.8,21.5
15/11/1977,11,1977,0,20.3
16/11/1977,11,1977,0,19.8
17/11/1977,11,1977,0,19
18/11/1977,11,1977,0,19
19/11/1977,11,1977,0,19.3
20/11/1977,11,1977,0,19.5
21/11/1977,11,1977,0,20
22/11/1977,11,1977,0,19.8
23/11/1977,11,1977,0,20
24/11/1977,11,1977,0,21.3
25/11/1977,11,1977,0,20.8
26/11/1977,11,1977,0,20.6
27/11/1977,11,1977,0,21.8
28/11/1977,11,1977,0,22
29/11/1977,11,1977,0,21.5
30/11/1977,11,1977,0,21.8
01/12/1977,12,1977,0,22.5
02/12/1977,12,1977,0,22.4
03/12/1977,12,1977,0,21
04/12/1977,12,1977,0,22
05/12/1977,12,1977,0,21.8
06/12/1977,12,1977,0,20.5
07/12/1977,12,1977,0,20.7
08/12/1977,12,1977,0,21
09/12/1977,12,1977,0,20.6
10/12/1977,12,1977,0,20.9
11/12/1977,12,1977,0,20.5
12/12/1977,12,1977,0,21.3
13/12/1977,12,1977,0,20
14/12/1977,12,1977,0,21
15/12/1977,12,1977,0,20
16/12/1977,12,1977,0,21.5
17/12/1977,12,1977,0,20.8
18/12/1977,12,1977,0,21.4
19/12/1977,12,1977,0,22
20/12/1977,12,1977,0,21.8
21/12/1977,12,1977,0,21.9
22/12/1977,12,1977,0,21.8
23/12/1977,12,1977,0,21.9
24/12/1977,12,1977,0,22
25/12/1977,12,1977,0,21.9
26/12/1977,12,1977,0,21.8
27/12/1977,12,1977,0,22.5
28/12/1977,12,1977,0,23.5
29/12/1977,12,1977,0,22.9
30/12/1977,12,1977,0,23.8
31/12/1977,12,1977,0,23.4
01/01/1978,1,1978,0,22.8
02/01/1978,1,1978,0,23.5
03/01/1978,1,1978,0,23.3
04/01/1978,1,1978,0,22.5
05/01/1978,1,1978,0,23.2
06/01/1978,1,1978,0,23.4
07/01/1978,1,1978,0,22.9
08/01/1978,1,1978,0,23.3
09/01/1978,1,1978,0,23.5
10/01/1978,1,1978,0,22.4
11/01/1978,1,1978,0,22.3
12/01/1978,1,1978,0,23.5
13/01/1978,1,1978,0,22.9
14/01/1978,1,1978,0,22.9
15/01/1978,1,1978,0,23.5
16/01/1978,1,1978,0,23.2
17/01/1978,1,1978,0,23
18/01/1978,1,1978,0,22.4
19/01/1978,1,1978,1.8,23.9
20/01/1978,1,1978,15.6,23.8
21/01/1978,1,1978,0.5,22.9
22/01/1978,1,1978,0,22.4
23/01/1978,1,1978,0,23
24/01/1978,1,1978,0,23.5
25/01/1978,1,1978,0,22.9
26/01/1978,1,1978,0,23
27/01/1978,1,1978,0,23.4
28/01/1978,1,1978,0,22.5
29/01/1978,1,1978,0,22.4
30/01/1978,1,1978,0,22.5
31/01/1978,1,1978,0,23.4
01/02/1978,2,1978,0,23.2
02/02/1978,2,1978,0,23.8
03/02/1978,2,1978,0,22.9
04/02/1978,2,1978,0,23.4
05/02/1978,2,1978,4.3,23.6
06/02/1978,2,1978,2,20.9
07/02/1978,2,1978,4.8,22
08/02/1978,2,1978,6,22.5
09/02/1978,2,1978,1.8,22.8
10/02/1978,2,1978,1.8,22.5
11/02/1978,2,1978,3.3,23
